$CUREVAM.1000,"Error -- 1000 called"
80C0XY00.1052,"_ruler_ mène l'enquête sur la mort de _murder_,
mais il n'y a pas de piste pour l'instant.
<--->
_ruler_ enquête sur la mort de _murder_ au Palais de ___ruler_.
"
80C0XY00.1053,"_ruler_ essaie de trouver qui est responsable de la mort de _murder_,
mais %g ne résoudra jamais cette affaire.
<--->
_ruler_ a été envoyé sur la trace de l'assassin de _murder_, mais ne sais pas où chercher.
<--->
"
90C00Y00.1000,"Un très sage %ra a dit un jour que
 le pouvoir corrompt et que le pouvoir absolu
 est absolument fabuleux. C'est pourquoi
 je vais vous aider. Cependant, je suis sûre
 que vous avez quelques problèmes moraux avec
 l'assassinat d'un innocent qui ne vous a jamais
 fait le moindre mal. Mais vous le ferez
 pour gagner mon Crâne de Corruption, n'est-ce pas ?
"
90C00Y00.1001,"Non ? Comment... vous...
 méprisable, pleurnicheur,
 vertueux, arrogant espèce de
 gobelin morveux ! Je ne vais pas
 perdre mon précieux temps
 avec quelqu'un d'aussi
 vénéneusement moral.
"
90C00Y00.1002,"Magnifique. L'innocent en question que j'ai
 en tête est un _monster_. Vous devez
 probablement vous dire, une innocente liche ? Eh bien,
 innocente pour vous. Pour moi, c'est un
 ancien serviteur perfide qui a pris tout
 le pouvoir que lui ai offert, puis a ignoré
 mes ordres. vous trouverez sa présence
 cadavérique à ___mondung_.
 Il est nerveux, alors préparez-vous à vous battre.
 Après votre victoire, allez à ___qgfriend_,
 et cherchez mon serviteur _qgfriend_,
 un =qgfriend_ à __qgfriend_.
"
90C00Y00.1003,"Quoi, espèce de %ra perfide.
 Pretendez-vous avoir tué la liche
 afin de poser vos mains avides
 sur le Crâne ? Vaernima serait
 amusée, mais hélas, mes ordres
 sont stricts. Revenez quand vous
 aurez accompli votre contrat.
"
90C00Y00.1004,"Ainsi, la liche a craché un nuage de
 poussière quand elle est morte ? _qgfriend_
 ici, %pcf. Vaernima sera tellement
 ravie de cette nouvelle. J'espère que cela ne
 vous dérange pas si j'embellis un peu les choses
 avec quelques horrible pêchés scandaleux
 que vous auriez commis durant votre voyage.
 Voici _artifact_. Utilisez-le chaque fois que
 vous souhaitez qu'un adversaire se retrouve
 confronté à son côté le plus sombre.
 Adieu, %pcf,
 et surtout faites le mal.
"
90C00Y00.1005,"Cette région est maudite tant que cette liche réside à ___mondung_.
<--->
Si seulement un grand héros venait tuer cette ancienne liche à ___mondung_."
90C00Y00.1006,"Cette liche a quitté ___mondung_, mais elle n'est pas morte. Elle reviendra lorsqu'elle sera prête.
<--->
Je suis bien content que cette liche soit partie, même si elle n'est pas morte."
90C00Y00.1007,"Il paraît que %god nous a envoyé un ange pour débarrasser ___mondung_ de cette maudite liche.
<--->
Il se peut qu'on ne sache jamais qui a détruit cette liche à ___mondung_, mais il est dans nos prières."
90C00Y00.1008,"Error: Quest 90c00y00.q tried to display text"
90C00Y00.1008,"
"
90C00Y00.1009,"Error: Quest 90c00y00.q tried to display text"
90C00Y00.1009,"
"
90C00Y00.1011,"_qgfriend_ est ce =qgfriend_ terrifiant, là-bas à __qgfriend_ vers le %di.
<--->
_qgfriend_ est le =qgfriend_ puant que j'ai vu à __qgfriend_."
90C00Y00.1012,"_qgfriend_ est l'un des agents corrupteurs de Vaernima à %reg.
<--->
_qgfriend_ est l'un des sales petits colporteurs de corruption de Vaernima."
90C00Y00.1013,"Vaernima est la Lady Daedra de la Corruption et de la Décadence. Pas belle à voir.
<--->
Vaernima est une Régente d'Oblivion, et sa sphère est la Corruption et la Décadence."
90C00Y00.1014,"Le Crâne de Corruption crée le clone ténébreux et opposé d'un adversaire.
<--->
Le Crâne ramène la moitié ténébreuse d'un adversaire depuis le plan d'Oblivion de Vaernima."
90C00Y00.1015,"Vous avez tué _monster_,
 accomplissant votre part du marché
 avec Lady Vaernima.
"
90C00Y00.1020,"%qdt: J'ai passé un accord avec la Princcesse Daedra
 Vaernima. Elle ordonnera à son agent à ___qgfriend_
 de me donner son artéfact, _artifact_, si
 je peux le retrouver à __qgfriend_ avec les cendres
 d'un certain _monster_ dans les mains,
 dans =1stparton_ jours ou moins.
 Tout ce que je sais de _monster_, c'est qu'il
 vit à ___mondung_.
<--->
"
A0C00Y00.1000,"Mon nom est _qgiver_. J'ai une mission qui
requiert beaucoup de discrétion et le plus grand secret. Le
risque est minime et je vous paierai _gold_ pièces d'or. Cela ne
vous prendra que =traveltime_ jours. Je ne peux
vous en dire plus, sauf si vous acceptez la mission.
<--->
Bonjour jeune %ra. Voudriez-vous gagner
_gold_ pièces d'or en réalisant ce que
les mercenaires appellent ""le vieil échange"" ?
"
A0C00Y00.1001,"Je comprends. Je suis heureux de ne vous avoir révélé
aucun détail. Ainsi vous ne pouvez pas me trahir.
<--->
Très bien. Mais votre manque d'ambition sera
votre perte, mon jeune ami.
<--->
"
A0C00Y00.1002,"Allez à _inn_ dans l'auberge __inn_.
Il s'y trouve un courrier chargé d'une lettre. Prenez-la
et remplacez la par celle-ci. Ne touchez à rien
d'autre. S'il s'apercoit que la lettre a été
échangée, tous mes plans tomberont à l'eau.
Si vous êtes pris, n'essayez
pas de me retrouver.
"
A0C00Y00.1003,"N'avez-vous pas une lettre à ""livrer"" pour moi ?
<--->
Revenez quand vous avez rempli votre mission, %pcf.
"
A0C00Y00.1004,"Ah! Très bien, %pcf.Voici votre récompense.
Ne mentionnez jamais cette affaire. Je nierai
vous avoir déjà rencontré.
"
A0C00Y00.1005,"Les moissons devraient être bonnes cette année.
"
A0C00Y00.1006,"_qgiver_ vit des moments difficiles depuis quelques temps.
"
A0C00Y00.1007,"_qgiver_ a beaucoup de chance en ce moment.
"
A0C00Y00.1008,"Chuuut. Je me rappelle très bien cette mission d'échange
de lettre que vous avez exécutée pour moi, mais il vaudrait
mieux que personne d'autre ne le sache.
"
A0C00Y00.1009,"C'est vous ! Tout ce que je vous avais demandé, c'était d'échanger
une simple lettre, et vous n'avez même pas su faire ça.
Hors de ma vue !
"
A0C00Y00.1010,"%qdt:
 J'ai secrètement rencontré _qgiver_ à
 ___qgiver_ qui m'a remis une lettre
 falsifiée. Je dois me rendre à l'auberge
 _inn_ à __inn_ et
 faire l'échange avec la véritable lettre. J'ai =traveltime_ jours
 pour remplir cette quête. Si on me prend,
 personne ne m'aidera.
"
A0C00Y00.1011,"_npc1_,
    Vous êtes l'homme le plus répugnant du monde. Comment ai-je pu
 penser que je vous aimais ? Puisque vous m'avez surprise
 sur mon balcon dans les bras de _npc2_,
 je peux désormais vous avouer que nous somme amants. %g est
 capable de m'offrir ce que vous ne m'offrez pas. Vous m'avez
 salie en me couvrant d'or.
 Ne franchissez plus jamais le seuil de ma porte.
 
                       _npc3_
"
A0C00Y00.1012,"Mon très cher _npc1_,
    Je sais que vous êtes en colère et blessé. Je ferais
 n'importe quoi pour regagner votre amour.
 Ce que vous avez vu sur mon balcon n'était pas
 ce que je desirais. J'avais trop bu cette nuit là
 et _npc2_ a profité de la situation pour
 me voler un baiser. %g a été renvoyé et ne fait
 désormais plus partie de mon personnel. Par pitié, pardonnez-moi.
 Je n'aime que vous.
 
                       _npc3_
"
A0C00Y00.1013,"Cette auberge ressemble à toutes les autres. Cependant, pour vous,
 c'est un lieu ou la discrétion compte plus que la
 force. Il vous faut maintenant trouver où le courrier
 a laissé cette lettre.
"
A0C00Y00.1014,"Voleur ! Je vais vous apprendre à piller un honnête messager !
"
A0C00Y00.1015,"Alors que vous déposez la lettre pleine de mensonges,
vous savez que votre mission est à moitié remplie.
"
A0C00Y00.1016,"Baron _npc1_,
    Le comte _npc2_ aura des hommes
 pour vous tendre une embuscade dans le passage.
 Ne tombez pas dans ce piège.
                     _npc3_
"
A0C00Y00.1017,"_npc1_,
    Votre offre est ridicule !
 Je peux l'avoir pour moitié prix
 chez n'importe quel marchand de
 ___npc1_, et je le ferai.
                  _npc2_
"
A0C00Y00.1018,"Honorable _npc1_,
    J'ai décidé de voter pour vous
 quand la guilde élira son
 nouveau trésorier. Bien entendu
 j'espère bien être payé de retour
 dans le futur.
                   _npc2_
"
A0C00Y00.1019,"Baron _npc1_,
    Le comte _npc2_ vous attendra
 au lieu convenu.
 La trève qu'il propose est
 honorable et juste.
                  _npc3_
"
A0C00Y00.1020,"_npc1_,
    Votre prix est juste.
 Cette lettre est mon bon de
 règlement pour le colis. Présentez-
 le à mon employé quand vous
 viendrez me livrer.
                  _npc2_
"
A0C00Y00.1021,"Honorable _npc1_,
    J'ai décidé de voter pour _npc3_
 lors de la prochaine assemblée de la guilde.
 %g a fait preuve de fidélité envers la
 guilde à de nombreuses reprises.
                   _npc2_
"
A0C00Y00.1030,"_qgiver_ est une honnête personne.
"
A0C00Y00.1031,"_qgiver_ semble plutôt sympathique,
 mais je ne jouerais pas aux cartes avec lui.
<--->
"
A0C00Y06.1000,"Mon nom est _qgiver_.
Mon maître m'a demandé de
trouver un valeureux aventurier
pour une mission dangereuse.
Je ne peux vous en dire plus,
si ce n'est que cette
mission rapportera _gold_ pièces d'or
à qui l'accomplira. Cela
vous intéresse-t-il ?
"
A0C00Y06.1001,"Je devrai chercher ailleurs
un héros pour accomplir
la quête de mon maître.
"
A0C00Y06.1002,"Allez à _meetingplace_.
Là vous trouverez mon
maître.
"
A0C00Y06.1010,"%qdt:
 J'ai rencontré
 _qgiver_ à ___qgiver_,
 qui m'a dit que son maître, à
 _meetingplace_, me payerait 
  _gold_ pièces d'or pour
 un travail mystérieux et
 certainement dangereux.
"
A0C00Y06.1011,"%qdt:
 Le traitre
 _traitor_ m'a téléporté
 dans __dungeon_.
 Si je sors d'ici, je le retrouverai.
"
A0C00Y06.1012,"Apprenez qui je suis vraiment.
Je suis votre plus mortel ennemi
_traitor_ ! Et je vous ai
réservé un destin tout particulier.
"
A0C00Y06.1013,"Je ne savais pas que _traitor_
vous trahirait de la sorte.
Je n'ai rien contre vous,
%pcn. %g a fait route
vers _hidingplace_ ici en ville.
Cherchez là-bas.
"
A0C00Y06.1014,"Je ne sais pas comment vous avez pu
vous enfuir de ___dungeon_
%pcf. Cependant cela ne vous
sauvera pas. Préparez vous à
mourir !
<--->
"
A0C00Y07.1000,"J'ai besoin d'aide. Je suis _qgiver_, à votre service,
bien que j'espère que vous serez au mien.
_house_ est infesté de monstres.
Pouvez-vous les tuer pour moi ? Je vous paierai
_gold_ pièces d'or.
"
A0C00Y07.1001,"J'ai besoin d'aide ! Est-ce que personne ne va m'aider ?
"
A0C00Y07.1002,"Merci, merci, merci ! S'ils ne sont pas éliminés
demain à la même heure, je serai ruiné.
"
A0C00Y07.1004,"Quel soulagement ! Je hais ces choses !
Vous m'avez été très utile, %pcn.
Voici les _gold_ pièces d'or que je vous avais promises.
"
A0C00Y07.1005,"Je trouve cela hilarant ! La maison de _qgiver_
 est envahie de cafards géants !
<--->
La situation de _qgiver_ me navre. Sa
maison a été littéralement envahie
par des rats de 4 mètres de long, avec des dards empoisonnés.
J'ai entendu dire qu'ils peuvent transformer
un homme en pierre d'un simple regard !
"
A0C00Y07.1006,"_qgiver_ a dû vendre _house_ !
<--->
J'ai entendu dire que quelqu'un
à la Guilde des Guerriers est
mort en essayant de désinfecter
_house_ de _qgiver_.
"
A0C00Y07.1007,"N'êtes vous pas le fameux %ra qui a aidé
_qgiver_ à se débarrasser des monstres
qui avaient envahi sa maison ?
<--->
J'ai entendu dire que _qgiver_ avait payé
quelqu'un pour le débarrasser des monstres
qui avaient envahi sa maison.
"
A0C00Y07.1008,"%pcf, j'ai une dette envers vous pour avoir
nettoyé ma demeure de ses monstres.
<--->
Ecoutez, tout le monde ! Je voudrais vous présenter
mon compagnon, %pcn, l'extraordinaire exterminateur.
%g a débarrassé ma demeure de trois douzaines
de monstres !
"
A0C00Y07.1009,"Vous ! Vous m'avez ruiné ! J'ai perdu _house_
parce que vous n'avez pas été capable de
me débarrasser d'une poignée de monstres.
<--->
N'êtes vous pas l'immonde %ra qui m'a ruiné ?
Je vous avais engagé pour tuer quelques monstres
qui infestaient _house_, et vous
avez échoué ! Allez-vous en !
"
A0C00Y07.1010,"%qdt:
 A ___qgiver_, j'ai rencontré _qgiver_.
 %g m'a demandé de nettoyer _house_ à
 __house_ des monstres qui s'y trouvent.
 %g veut en être débarrassé en un jour.
<--->
"
A0C00Y08.1000,"Mon nom n'a pas d'importance. Tout ce que vous devez savoir,
c'est que j'ai besoin de quelqu'un qui n'a pas peur
de verser un peu de sang pour... disons _gold_ pièces d'or.
Si vous n'êtes pas intéressé, dites-le moi maintenant.
Acceptez vous ce travail ?
<--->
Chuuut ! Parlez moins fort. Avant que je n'en dise plus,
seriez-vous le genre de %ra qui tuerait pour de l'or ?
Disons pour _gold_ pièces d'or ?
<--->
Je cherche quelqu'un qui ne s'évanouit pas à
la vue du sang... du sang humain. Pour _gold_ pièces d'or,
seriez-vous capable de tuer un homme ?
"
A0C00Y08.1001,"Nous ne nous sommes jamais vus.
<--->
Partez ! Je ne veux pas que quelqu'un nous voie discuter ensemble.
<--->
Très bien. Qu'il en soit ainsi.
"
A0C00Y08.1002,"Je veux que _darkb_ soit assassiné.
Le problème est que la Confrérie Noire
n'acceptera pas le travail. C'est en rapport
avec une dette qu'ils ont.
J'ai besoin d'un indépendant. Accomplissez
le travail et soyez de retour d'ici une semaine,
je vous paierai _gold_ pièces d'or.
Demandez _questgiver_, je vous attendrai ici.
"
A0C00Y08.1004,"La vengeance est mienne ! A propos, vous feriez
mieux de quitter la ville. J'ai entendu dire que la
Confrérie Noire avait eu vent de cette histoire.
Voici votre or %pcf.
"
A0C00Y08.1005,"Il paraît que _questgiver_  déteste _darkb_.
<--->
_darkb_ a des liens avec la Confrérie Noire.
"
A0C00Y08.1007,"Quelqu'un a tué _darkb_, et en public en plus !
<--->
Avez-vous entendu parler du meurtre ? _darkb_
a été tué par un assassin.
<--->
Je n'ai jamais aimé _darkb_. Cela me réjouit
que quelqu'un ait décidé sa mort. J'ai entendu dire
que c'était la Confrérie Noire.
"
A0C00Y08.1008,"Parlez moins fort. Vous avez tué _darkb_
pour moi, et je sais ce que je vous dois,
mais je ne veux pas que les gens pensent
que j'ai quoi que ce soit à voir là dedans.
"
A0C00Y08.1009,"Je vous ai confié un travail et vous ne l'avez pas fait.
Tout ce que vous aviez à faire était de tuer _darkb_.
Maintenant c'est trop tard, et la Confrérie Noire
est après moi. Laissez-moi seul.
"
A0C00Y08.1010,"%qdt:
 J'ai accepté un contrat pour tuer _darkb_.
 J'ai une semaine pour revenir voir _questgiver_
 de ___questgiver_ après avoir exécuté le contrat.
"
A0C00Y08.1015,"_darkb_ est encore en vie.
Pour qui me prenez vous %pcf?
"
A0C00Y08.1021,"Au secours ! Au meurtre ! Au secours !
"
A0C00Y08.1022,"Mais quel genre d'assassin êtes vous ? Aux armes ! Aux armes !
"
A0C00Y08.1023,"Je suis touché ! %oth.
"
A0C00Y08.1024,"Lâche ! Vous m'attaquez sans la moindre raison ni provocation !
"
A0C00Y08.1030,"_questgiver_ ? Je ne sais pas grand chose sur %g2.
C'est quelqu'un de plutôt discret.
"
A0C00Y08.1031,"Il semble que _questgiver_ ait de ténébreux amis.
Mais ce n'est pas moi qui vous l'ai dit !
"
A0C00Y08.1032,"Un citoyen de haut rang ! Demandez autour de vous.
"
A0C00Y08.1033,"_darkb_ est généralement à _place_, mais à votre
place je ne me mêlerais pas de ses affaires.
C'est juste un conseil d'ami.
<--->
"
A0C00Y10.1000,"Excuse-moi ! Tu ne vois pas que je suis
occupé, espèce de %ra puant. Tu cherches
les ennuis ou quoi ?
<--->
Quoi ? Qu'est-ce que t'as dit ? J'espère
ne pas t'avoir entendu dire quelque chose.
Tu as dit quelque chose ?
<--->
Tu vois donc pas que je suis occupé !
Et pas de bonne humeur en plus !
Si tu ne pars pas immédiatement
il pourrait y avoir des problèmes.
C'est ce que tu veux ?
<--->
Bon, excuse-moi mais tu ne pourrais pas
te barrer de ton côté, gros porc
de %ra ? Tu veux qu'on aille dehors ?
"
A0C00Y10.1001,"C'est mieux comme cela, maintenant dégage.
<--->
Je n'en pensais pas moins, va jouer ailleurs.
<--->
Pensais pas que tu dirais oui de
toute façon. Maintenant, du balai !
"
A0C00Y10.1002,"Oh... tu veux jouer, hein ?
<--->
Je crois qu'on en tient un vivant !
<--->
Bon... on dirait que ma journée
commence à devenir intéressante !
<--->
Tu es aussi stupide que tu en as l'air !
Très bien, %ra, je vais jouer aussi.
<--->
Donc c'est comme ça que tu veux la jouer ! Je me
tiens prêt pour n'importe quel %ra !
"
A0C00Y10.1003,"%qdt :
 J'ai accepté un duel avec _giver_ à
 _inn_ dans ___giver_ dans six heures.
"
A0C00Y10.1004,"Tandis que votre regard surplombe
votre adversaire à terre, vous savez
que votre honneur a été respecté.
"
A0C00Y10.1005,"_giver_ a défié en
duel un vagabond %ra !
"
A0C00Y10.1006,"N'êtes-vous pas ce trouillard de %pcn ?
Vous avez refusé un duel, n'est-ce pas ?
<--->
J'ai entendu dire que _giver_
avait défié quelqu'un en duel et que
l'andouille ne s'est même pas montré !
"
A0C00Y10.1007,"Vous êtes le %ra qui a vaincu
le champion de _giver_ !
Bien joué !
<--->
Il paraît que _giver_ a été
publiquement ridiculisé quand un
vagabond aventurier a vaincu son
champion. Que ça lui serve de leçon.
"
A0C00Y10.1008,"%oth. J'avais espèré ne plus jamais
vous revoir. Vous avez vaincu mon champion
en duel, mais je reste une personne
estimée.
<--->
Ne me faites pas de mal ! Vous avez vaincu
mon champion en duel, n'est-ce pas suffisant ?
"
A0C00Y10.1009,"Hah ! Tu n'a même pas daigné te montrer
au duel. Tu pensais que je ne m'en
souviendrais pas, hein ? Dégage, trouillard !
"
A0C00Y10.1016,"Oh, un puant ! C'pas ton jour
de chance. Ca te dit un duel ?
<--->
Alors nous allons arranger cela comme
des guerriers. Que dirais-tu d'un duel ?
<--->
Je fais valoir mes arguments à l'ancienne.
Que dirais-tu d'un duel ?
<--->
Nous allons arranger cela. Tout du moins,
moi ! Que dirais-tu d'un duel plus tard ?
"
A0C00Y10.1018,"Excellent ! Ha ha ! Un duel. Mais pas ici,
moucheron. Dans six heures, à _inn_.
Je te verrai là-bas.
 
<--->
Mauvaise décision, %ra. Le duel
aura donc lieu. Rencontre-moi à _inn_
dans six heures. Je t'attendrai !
<--->
Ne pousse pas trop. Un effort comme celui-là
a tué un de mes chevaux... et il pourrait te tuer !
Rencontre-moi à _inn_ et nous arrangerons
cela. Soit là-bas dans six heures.
Je dois me préparer maintenant.
<--->
C'est parti pour un duel ! Tu le regretteras...
mais tu a laissé passer ta chance d'y échapper.
Rencontre-moi à _inn_ dans six heures
et on fera ça.
"
A0C00Y10.1019,"Ainsi le %ra n'est pas un trouillard
comme _giver_ le prétendait.
%g m'a grassement payé pour venir ici et
te tailler en pièces. Et je vais le faire.
Prépare-toi au combat !
<--->
C'est toi ! _giver_ disait que tu serais
ici, et je finis toujours ses combats.
<--->
Tu devrais faire attention aux personnes
à qui tu cherches des histoires. _giver_
a beaucoup d'amis. Maintenant prépare-toi à mourir !
"
A0C00Y10.1025,"Ca pourrait devenir moche, pas aussi moche
que toi, mais ca ne me pose pas de problèmes
de te casser la tête pour avoir dit ca ! Tu veux que
ça dégénére en baston, hein ?
<--->
T'cherches la baston, hein ?
C'est c'que tu veux, gamin ?
<--->
Oh... nous en avons un en vie... avec
des armes ! Tu veux t'en servir sur moi ?
<--->
Les deux combats que j'ai eus hier ne
se sont pas bien terminés pour les autres
porcs ! Tu veux te mesurer à moi, t'es sûr ?
"
A0C00Y10.1027,"Je n'en pensais pas moins. Maintenant casse-toi.
<--->
C'est mieux comme ça. Maintenant laisse-moi.
<--->
On voit maintenant qui tu es. Salut.
<--->
Barre-toi alors. Je n'ai pas de
temps à gaspiller avec toi.
<--->
Alors bouge. J'ai une journée
chargée qui m'attend.
<--->
"
A0C00Y11.1000,"Excusez-moi, êtes-vous médecin ou avez-vous
des dons de guérisseur ? J'ai vraiment besoin
de quelqu'un capable de soigner mon cousin.
<--->
Mon cousin va mourir ! Pouvez-vous m'aider ?
"
A0C00Y11.1001,"Dommage, je croyais avoir trouvé de l'aide.
<--->
C'est bien ma chance ! Merci quand même.
<--->
Excusez-moi pour le dérangement alors.
"
A0C00Y11.1002,"Merci, merci, merci !
Mon nom est _giver_.
J'ai récemment recu une lettre m'informant que mon
cousin, _cousin_ de ___cousin_,
était gravement malade et qu'il allait sûrement mourir dans
=questtime_ jours ! Quoi que vous puissiez faire
pour %g2 soigner, je vous en serai extrêmement
reconnaissant. Voici _gold1_ pièces d'or. Je vous en
donnerai _gold2_ de plus si vous trouvez un remède.
"
A0C00Y11.1004,"Oh, vous m'apportez le talisman guérisseur !
Merci à vous %pcn.
Voici le reste de l'or que mon cousin vous avait
promis. Je ne vous remercierai jamais assez.
Que la suite de vos voyages vous soit
agréable. Au revoir.
"
A0C00Y11.1005,"C'est dommage pour le parent de _giver_.
On dit que sa maladie est mortelle.
"
A0C00Y11.1006,"_cousin_ de ___cousin_
est mort à cause du fléau des Sorciers. Il paraît
que la peste pourrait désormais venir jusqu'ici.
<--->
_giver_ est anéanti de chagrin.
Son cousin ___cousin_
est mort récemment.
"
A0C00Y11.1007,"Le saviez-vous ? Il y a eu une guérison
miracle à ___cousin_ !
<--->
_giver_ a fait don d'une grosse
somme d'argent au temple.
Il paraît que son cousin fut soigné miraculeusement.
<--->
C'est vous le célèbre %ra qui a guéri
cette pauvre personne à ___cousin_?
"
A0C00Y11.1008,"Les dieux vous bénissent %pcf. Je n'oublierai jamais
ce que vous avez fait pour _cousin_ et moi.
%g a bien récupèré du  Fléau des Sorciers.
"
A0C00Y11.1009,"%pcn ! Vous polluez l'air de votre souffle.
Mon cousin est mort par votre
faute. Dehors ! Dehors ! Dehors !
"
A0C00Y11.1010,"%qdt:
 _giver_ de ___giver_ m'a payé
 pour guérir son cousin,
 _cousin_ de ___cousin_.
 %g risque de mourir d'ici =questtime_ jours.
 Je recevrai  _gold2_ pièces d'or supplémentaires
 quand j'aurai trouvé un remède.
"
A0C00Y11.1011,"%qdt:
 J'ai vu _cousin_. Son état est
 pire que ce que m'avait dit _giver_.
 _cousin_ dit que _healer_ à
 ___healer_ pourrait avoir un remède.
"
A0C00Y11.1012,"J'ai entendu parler de sa maladie. Aucun guérisseur
local ne connaît de remède.
<--->
J'en ai entendu parler. Des rumeurs sur une
mystérieuse et fatale maladie. Très triste.
<--->
Oui j'en ai entendu parler. Ca ressemble au fléau
des sorciers, d'après moi.
<--->
Nul ne sait quelle est sa maladie.
Ils disent qu'il ne lui reste plus que quelques jours.
<--->
Un cas bien malheureux. Nul de sait ce qui
ne va pas. Vous devriez essayer un guérisseur
nomme _healer_, qui est réputé pour avoir
un grand savoir des maladies obscures.
<--->
Oh, oui ! La personne avec la fièvre mortelle.
"
A0C00Y11.1013,"Bonjour à vous. Oui, j'ai entendu parler de
_cousin_ de ___cousin_ et de son
problème. Il s'agit du fléau des sorciers. Je le sais.
Mais j'ai un talisman spécial qui pourra le guérir.
Attention, il ne peut être utilisé qu'une seule fois.
Je vous le vends pour 20 pièces d'or. Le voici.
Merci beaucoup, et au revoir.
"
A0C00Y11.1015,"Bonjour à vous. Oui, j'ai entendu parler de
_cousin_ de ___cousin_ et de son
problème. Il s'agit du fléau des sorciers. Je le sais.
Mais j'ai un talisman spécial qui pourra le guérir.
Attention, il ne peut être utilisé qu'une seule fois.
Je vous le vendrais bien pour 20 pièces d'or mais il
semble que vous n'ayez pas assez d'or pour le payer.
"
A0C00Y11.1017,"%qdt:
 J'ai acheté un talisman à _healer_ de
 ___healer_. Il paraît qu'il guérit le
 fléau des sorciers qui afflige _cousin_.
"
A0C00Y11.1019,"Vous utilisez le talisman, et il disparait magiquement.
"
A0C00Y11.1030,"Je me sens si faible, je ne sais pas ce qui ne va pas.
Mon cousin, _giver_, vous a envoyé pour m'aider ?
Oh merci ! Merci ! J'ai entendu parler d'un
guérisseur nomme _healer_
à ___healer_, qui pourrait m'aider.
S'il vous plaît, allez le trouver et rapportez-moi
le remède avant qu'il ne soit trop tard.
"
A0C00Y11.1040,"Ils disent que _healer_ est spécialiste
des plus obscures maladies.
<--->
_healer_ vit à  ___healer_, je crois.
"
A0C00Y11.1041,"_healer_ est le meilleur guérisseur qui soit, à ce qu'on dit.
Vous le trouverez à  ___healer_.
<--->

J'ai entendu parler de _healer_ de ___healer_.
%g a la réputation de soigner les cas les plus difficiles.
<--->
"
A0C00Y12.1000,"Pardonnez-moi. Avez-vous lu le livre
_book_ ? Il est excellent, et j'en ai
une édition originale. Ou, devrais-je dire, j'avais une
édition originale. Il semble que quelqu'un l'ait prise.
Je paierai volontiers _gold_ pièces d'or au premier qui me
la rapportera. Pensez-vous que vous pouvez la trouver ?
"
A0C00Y12.1001,"Dommage, j'ai réellement besoin de retrouver ce livre.
"
A0C00Y12.1002,"Super ! C'est très important pour moi, étant donné
que c'est une édition originale et tout. Malheureusement,
je n'ai aucune idée de qui l'a prise. Vous pouvez
essayer de demander en ville.
"
A0C00Y12.1004,"Splendide ! Mon exemplaire de _book_ !
Bien joué %pcn. Voici
les _gold_ pièces d'or que je vous avais promises.
"
A0C00Y12.1005,"_giver_ essaie désespérement
de retrouver son vieux bouquin puant.
Qui pourrait bien vouloir le voler de toute façon ?
"
A0C00Y12.1006,"J'ai entendu dire que _giver_ a
finalement abandonné et a acheté un autre
exemplaire de son précieux livre. Saviez-
vous qu'%g avait réellement engagé quelqu'un
pour le retrouver ? Quel imbécile !
"
A0C00Y12.1007,"Vous devez être le %ra qui a trouvé
le livre de _giver_ pour %g2. %g l'a
raconté à tout le monde. A l'entendre, on
pourrait penser que c'est le roi qui a été sauvé !
"
A0C00Y12.1008,"Tout ce que vous voulez, ami %pcf.
Vous avez retrouvé mon précieux livre
et je vous suis très reconnaissant.
"
A0C00Y12.1009,"Hmmph. Je vous avais engagé pour
retrouver mon livre. Comme vous avez
échoué, j'ai dû aller en acheter un autre
exemplaire. Je n'ai pas envie de vous parler.
"
A0C00Y12.1010,"%qdt :
 _giver_ de ___giver_ m'a
 proposé _gold_ pièces d'or pour
 retrouver son livre, _book_.
"
A0C00Y12.1014,"Vous pouvez essayer _informant_, à
_informant1_. %g semble savoir
tout ce qui se passe dans les environs de
__informant1_.
<--->
Vous devriez demander dans les
auberges locales. Les ragots y vont
bon train.
<--->
Vous devriez essayer à
_informant1_. Ca
cause sans arrêt là-bas.
<--->
Il a été volé à _giver_.
<--->
_giver_ s'est renseigné à ce sujet par ici.
<--->
Je l'ai vraiment apprécié quand je l'ai lu.
<--->
Vous devriez sans doute aller voir dans
une bibliothèque.
"
A0C00Y12.1015,"Il doit s'agir du livre qui a été dérobé à _giver_.
"
A0C00Y12.1025,"Salut, %pcn. La rumeur dit que vous
avez demandé après moi. Je devrais
pouvoir vous répondre, toutes les informations
de __informant1_ m'arrivent aux oreilles.
Mais assez parlé de moi. J'ai entendu quelque
chose au sujet de l'infortune de _giver_.
Vous voulez trouver _thief_, %g cherchait
une édition originale de _book_
depuis un moment. Et %g est également
du genre à prendre les choses sans demander,
si vous voyez ce que je veux dire.
"
A0C00Y12.1035,"%qdt :
 _informant_ m'a donné une précieuse
 information à propos du _book_
 manquant. %g semble penser que
 _thief_ peut y être mêlé d'une
 certaine manière. Maintenant si je pouvais
 seulement lui mettre la main dessus...
"
